Transaction_ID,Customer_ID,Product_Category,Quantity,Sales_Amount,Profit,Transaction_Date
T000001,C0103,Beauty & Health,5,679.2,172.09,2023-10-24
T000002,C0436,Food & Beverage,4,194.96,49.89,2023-10-24
T000003,C0861,Electronics,7,12522.93,4078.18,2023-10-24
T000004,C0271,Clothing,10,398.0,153.51,2023-10-24
T000005,C0107,Clothing,2,381.08,82.6,2023-10-24
T000006,C0072,Clothing,1,96.2,25.02,2023-10-24
T000007,C0701,Food & Beverage,1,5.42,1.89,2023-10-24
T000008,C0021,Food & Beverage,1,24.91,7.53,2023-10-24
T000009,C0615,Books,5,59.2,10.52,2023-10-24
T000010,C0122,Sports & Outdoors,10,1768.5,542.81,2023-10-24
T000011,C0467,Toys & Games,7,329.56,64.82,2023-10-24
T000012,C0215,Beauty & Health,2,157.82,43.8,2023-10-24
T000020,C0131,Clothing,3,347.25,89.06,2023-10-25
T000019,C0664,Books,2,29.58,5.7,2023-10-25
T000018,C0872,Home & Garden,8,3660.08,1348.97,2023-10-25
T000017,C0100,Beauty & Health,10,1256.2,260.96,2023-10-25
T000014,C0459,Food & Beverage,8,352.8,130.2,2023-10-25
T000015,C0088,Toys & Games,4,291.8,77.51,2023-10-25
T000013,C0331,Home & Garden,10,3259.3,920.02,2023-10-25
T000016,C0373,Food & Beverage,3,73.59,16.18,2023-10-25
T000029,C0192,Sports & Outdoors,4,406.52,152.14,2023-10-26
T000035,C0022,Home & Garden,1,374.17,139.92,2023-10-26
T000034,C0314,Beauty & Health,8,167.36,40.87,2023-10-26
T000033,C0460,Home & Garden,10,727.3,113.62,2023-10-26
T000031,C0277,Clothing,9,699.48,162.37,2023-10-26
T000030,C0956,Home & Garden,6,2740.68,1028.95,2023-10-26
T000028,C0386,Toys & Games,6,558.9,184.14,2023-10-26
T000032,C0161,Toys & Games,10,641.9,249.13,2023-10-26
T000026,C0414,Food & Beverage,1,41.56,15.09,2023-10-26
T000025,C0492,Electronics,2,1488.7,357.7,2023-10-26
T000024,C0344,Toys & Games,6,534.12,127.01,2023-10-26
T000023,C0770,Books,1,36.74,9.87,2023-10-26
T000022,C0309,Food & Beverage,10,71.2,24.44,2023-10-26
T000021,C0662,Books,3,64.14,12.62,2023-10-26
T000027,C0806,Food & Beverage,2,86.8,25.04,2023-10-26
T000047,C0783,Sports & Outdoors,2,233.18,43.72,2023-10-27
T000045,C0700,Beauty & Health,2,160.92,61.66,2023-10-27
T000044,C0476,Home & Garden,4,895.24,180.05,2023-10-27
T000043,C0682,Home & Garden,9,1225.53,390.39,2023-10-27
T000042,C0511,Beauty & Health,6,154.2,57.63,2023-10-27
T000046,C0976,Books,9,217.8,47.07,2023-10-27
T000040,C0475,Sports & Outdoors,5,150.55,39.08,2023-10-27
T000039,C0561,Food & Beverage,10,351.5,106.53,2023-10-27
T000038,C0857,Food & Beverage,6,81.42,18.37,2023-10-27
T000037,C0748,Toys & Games,9,364.5,79.56,2023-10-27
T000036,C0253,Beauty & Health,8,600.0,131.2,2023-10-27
T000041,C0059,Toys & Games,6,506.82,168.1,2023-10-27
T000059,C0485,Books,7,109.34,42.8,2023-10-28
T000058,C0131,Beauty & Health,4,88.92,18.79,2023-10-28
T000057,C0505,Food & Beverage,2,61.32,13.22,2023-10-28
T000056,C0832,Electronics,9,12681.18,4315.88,2023-10-28
T000055,C0244,Clothing,10,1565.1,554.34,2023-10-28
T000054,C0567,Toys & Games,9,248.04,74.67,2023-10-28
T000053,C0876,Electronics,10,9521.8,2098.73,2023-10-28
T000051,C0958,Home & Garden,8,1948.64,359.9,2023-10-28
T000050,C0687,Clothing,2,48.44,8.64,2023-10-28
T000049,C0958,Food & Beverage,9,304.83,88.66,2023-10-28
T000048,C0190,Electronics,10,19458.7,3356.47,2023-10-28
T000052,C0563,Clothing,9,1597.5,359.45,2023-10-28
T000066,C0388,Beauty & Health,2,257.46,84.13,2023-10-29
T000069,C0014,Toys & Games,5,142.45,41.09,2023-10-29
T000068,C0316,Home & Garden,2,170.2,39.06,2023-10-29
T000067,C0601,Toys & Games,9,700.11,207.87,2023-10-29
T000065,C0274,Books,6,287.64,74.81,2023-10-29
T000062,C0021,Electronics,3,3768.33,753.41,2023-10-29
T000063,C0841,Clothing,4,472.32,182.7,2023-10-29
T000064,C0167,Home & Garden,8,1420.64,334.67,2023-10-29
T000061,C0647,Home & Garden,1,143.52,53.09,2023-10-29
T000060,C0819,Food & Beverage,2,66.02,10.04,2023-10-29
T000070,C0242,Electronics,4,4956.68,1648.97,2023-10-30
T000071,C0777,Books,7,115.01,18.47,2023-10-30
T000072,C0346,Clothing,8,1568.72,239.7,2023-10-30
T000073,C0565,Books,5,81.7,21.61,2023-10-30
T000074,C0898,Books,10,295.0,53.97,2023-10-30
T000075,C0340,Sports & Outdoors,5,641.55,202.79,2023-10-30
